run_id,qid,rank,layer,position,feature_idx,score,score_norm,sign
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,4,1,1,11660,8.66e-06,0.625337,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,5,0,1,6083,7.94e-06,0.573443,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,6,24,21,4640,7.77e-06,0.56119,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,7,1,18,14349,7.51e-06,0.542929,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,8,2,20,13635,7.5e-06,0.542049,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,9,21,21,2997,6.96e-06,0.502842,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,10,0,13,2158,6.75e-06,0.487545,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,11,0,12,8922,6.58e-06,0.475073,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,12,16,21,9223,6.27e-06,0.452843,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,13,0,1,6421,6.07e-06,0.438624,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,14,0,1,10345,5.51e-06,0.398396,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,15,0,1,8489,5.45e-06,0.394014,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,16,0,1,6381,5.44e-06,0.393079,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,17,20,21,9550,5.42e-06,0.39165,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,18,0,1,4855,5.34e-06,0.385573,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,19,0,1,7344,5.29e-06,0.381992,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-04,20,0,1,11167,5.16e-06,0.37308,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,1,0,2,16200,1.454e-05,1.0,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,2,0,1,16229,1.016e-05,0.69845,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,3,0,20,6051,1.008e-05,0.693465,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,4,1,1,11660,9.26e-06,0.636713,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,5,0,1,6083,8.25e-06,0.567267,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,6,2,19,13635,8.25e-06,0.567144,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,7,1,17,14349,8.22e-06,0.565501,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,8,24,20,4640,7.55e-06,0.518956,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,9,21,20,2997,7.3e-06,0.501939,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,10,0,12,2158,7.07e-06,0.486286,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,11,0,11,8922,6.99e-06,0.480673,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,12,16,20,9223,6.51e-06,0.4478,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,13,0,1,6421,6.21e-06,0.426869,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,14,20,20,9550,5.88e-06,0.404549,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,15,0,1,8489,5.84e-06,0.401859,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,16,0,1,6381,5.75e-06,0.395304,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,17,0,16,16200,5.73e-06,0.394112,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,18,0,1,10345,5.65e-06,0.38887,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,19,0,1,4855,5.65e-06,0.388717,pos
gemma2-2b_Phase_1_mini_bank_Texas-capital_ca8e1bf8cf68,TX-05,20,0,1,11167,5.55e-06,0.381489,pos
