phase,family,label,tail,d_n_active_features,d_edge_density,d_mean_top50_score,d_top10_over_top50,d_layer_entropy,d_mean_error_node_weight,d_logit_gap,d_layer_stats_mean,d_layer_stats_std,d_layer_stats_median,d_layer_stats_entropy_bits,d_topk20_score_total,d_topk20_score_gini,d_density_at_0.50,d_density_at_0.60,d_density_at_0.70,d_density_at_0.80,d_density_at_0.90,d_density_at_0.95,d_density_at_0.99,d_n_edges_at_0.50,d_n_edges_at_0.60,d_n_edges_at_0.70,d_n_edges_at_0.80,d_n_edges_at_0.90,d_n_edges_at_0.95,d_n_edges_at_0.99,d_n_edges_total_at_0.50,d_n_edges_total_at_0.60,d_n_edges_total_at_0.70,d_n_edges_total_at_0.80,d_n_edges_total_at_0.90,d_n_edges_total_at_0.95,d_n_edges_total_at_0.99,d_n_kept_at_0.50,d_n_kept_at_0.60,d_n_kept_at_0.70,d_n_kept_at_0.80,d_n_kept_at_0.90,d_n_kept_at_0.95,d_n_kept_at_0.99,d_n_nodes_total_at_0.50,d_n_nodes_total_at_0.60,d_n_nodes_total_at_0.70,d_n_nodes_total_at_0.80,d_n_nodes_total_at_0.90,d_n_nodes_total_at_0.95,d_n_nodes_total_at_0.99
l1_l2,numeric_validity,false,the_answer_is,246.25,-0.0006077420042351614,0.00450626904785139,0.12455685832972707,0.26970224842070734,0.00919274426996708,-2.4916452121423336,-0.2751741607115487,-0.16393814947005167,0.0,-0.028299896536789382,0.15394360219133318,0.1558772427923848,0.003845942139922936,-0.00019163751957336755,-0.001316041101212001,7.295993607612638e-05,-0.0005980049561475024,-0.0005619244619965115,-0.0009661194215401063,-7808.28125,-26941.96875,-70218.0625,-135143.125,-223919.75,-221280.46875,-172573.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.375,-123.875,-150.65625,-163.28125,-144.21875,-103.6875,-46.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,numeric_validity,false,true_or_false,1.125,-0.014357732515973646,0.0013571742429087407,0.11784675691173158,-0.12357276334132049,0.010110769420862198,-2.1280249356940084,-0.38465645179288094,-0.2510001653565259,-0.875,-0.042394492476199724,0.04480020039494548,0.20109280583177402,-0.039289484183641775,-0.0233395558344281,-0.018873144241170904,-0.015892640187381114,-0.013889522122618111,-0.011660485691524242,-0.009752208787148803,-7989.53125,-20381.28125,-49649.28125,-115341.0,-269987.875,-425185.375,-630203.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.5,-13.8125,1.09375,23.5625,57.65625,47.4375,19.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,numeric_validity,true,answer_colon,485.09090909090907,0.006488035476927137,0.005613752466290889,0.013658193527501696,0.08751087877385075,-0.006453001137935754,-0.9621856547122614,-0.27208710637079064,-0.14845131335419015,-0.06060606060606061,-0.0307191895300879,0.20567224767662332,0.006456046094580801,0.02543551572967874,0.00641274963034495,0.005755493172239844,0.007787089062959306,0.004543298487982637,0.004404657522107906,0.005007204463633224,-849.1818181818181,-5413.121212121212,-4932.636363636364,27079.242424242424,113941.24242424243,243342.30303030304,350808.8787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.848484848484848,-42.60606060606061,-37.90909090909091,-27.151515151515152,15.545454545454545,42.63636363636363,12.121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,numeric_validity,true,the_answer_is,227.67857142857142,-0.006430800243511172,0.005889982031529013,0.12022641043311309,0.14309570354563497,0.00890158861875534,-0.34735590769321306,-0.2872833740781374,-0.17134499913109869,-0.07142857142857142,-0.029904478191935407,0.21319876280611944,0.1321395318168783,0.012150375928046084,-0.012408057755131846,-0.008018372720844701,-0.006434231377446547,-0.0036602906228664278,-0.0025191268430112637,-0.002041857633665884,-7136.25,-32182.64285714286,-75931.21428571429,-151142.89285714287,-225035.42857142858,-222042.2857142857,-195896.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.46428571428571,-127.25,-144.67857142857142,-142.10714285714286,-107.39285714285714,-67.85714285714286,-26.964285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l1_l2,numeric_validity,true,true_or_false,36.0625,-0.016157029387852063,0.0013580116136546394,0.12986991092870656,-0.07565310630778031,0.009891444817185402,-1.9990038286348855,-0.3813572108121734,-0.23966095833647066,-0.96875,-0.042898809667534676,0.044776952843335494,0.21313111471221738,-0.036986663274484084,-0.02312415362359919,-0.02040020415229596,-0.018092337602728607,-0.016051799755987188,-0.013816135904690812,-0.011764690606664492,-8998.46875,-24417.1875,-66057.34375,-158423.46875,-372863.90625,-561955.625,-783248.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.9375,-33.125,-27.84375,-6.28125,27.5625,28.3125,15.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,geometry_claim,false,answer_colon,42.5,-0.01352842023448933,0.006328526113939005,0.11285770723722222,0.20525589987406687,0.0012403130531311035,2.437336312484172,-0.11936413857952448,-0.06402034267048196,-0.16666666666666666,-0.0011905125438362123,0.24326359465097389,0.11084748958992001,0.010533765119978297,-0.019757329836978133,-0.015185254705950271,-0.013314868154420456,-0.008418898363018132,-0.004120566158830895,-0.0006966350710653629,-4659.166666666667,-20486.333333333332,-40946.0,-53726.5,21800.5,131235.16666666666,97215.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,-49.833333333333336,-27.5,43.166666666666664,151.5,167.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,geometry_claim,false,the_answer_is,-136.6,-0.013305932103445068,0.006744784616719698,0.1297529653078517,0.2707143389183049,0.015267693996429443,1.6973113044256642,-0.12258471252132566,-0.06365827477985438,0.0,-0.004882139537682839,0.25378884121309964,0.13461889451536657,0.011395154422445736,-0.0037416385427216205,-0.011353690212942852,-0.013974105563353434,-0.009669301384863205,-0.007083502896244942,-0.004633120563199982,-7939.2,-31686.4,-85666.0,-167460.4,-219063.4,-237478.8,-278853.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.6,-139.6,-154.6,-106.0,-10.2,24.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,geometry_claim,false,true_or_false,-181.0,-0.010115103736326224,0.003617981680254161,0.15496519093234212,-0.16250090053121502,0.01630355914433797,-1.7921891448915221,-0.15496180878189314,-0.09159703794713758,-0.3333333333333333,-0.007262709993419196,0.12331577862247893,0.2473288737722775,-0.029729130517382036,-0.02351074428510583,-0.015999113080970278,-0.01057405355614783,-0.010058471784656922,-0.009926426558766974,-0.009158869944040022,-8165.5,-27284.666666666668,-61522.5,-111750.5,-245959.83333333334,-400224.3333333333,-565048.8333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.166666666666664,-42.333333333333336,-39.166666666666664,-23.333333333333332,10.5,22.333333333333332,30.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,geometry_claim,true,answer_colon,94.2,-0.013639692900349703,0.006654331044643186,0.09702727212858281,0.19726361786005703,0.0014911532402038575,3.2988527187112937,-0.10981753819459569,-0.05220886257246793,0.0,-0.0010681547348756482,0.2527359759435058,0.09408540309714994,0.01559972957802896,-0.015584212868562947,-0.01370288769675177,-0.013271294073630858,-0.008130496320346325,-0.004354660713571129,-0.001308039338328365,-5693.4,-24860.2,-55997.4,-97615.0,-57383.6,34248.2,22075.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.2,-78.0,-70.2,-14.4,88.2,118.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,geometry_claim,true,the_answer_is,-93.2,-0.013652228309808037,0.006814631123677828,0.1181247231836103,0.23925002058336825,0.015510368347167968,2.348124721104228,-0.10078891888785294,-0.051467228322356104,0.0,-0.003457577388420496,0.25247279003087897,0.13525099840791807,0.01649209646509575,-0.0021963471380365917,-0.01052713617811148,-0.014453732687749549,-0.009877436832482784,-0.008084158007712033,-0.005791966499997967,-8063.4,-33116.2,-90631.6,-193677.4,-278478.8,-331460.2,-379745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.2,-151.6,-173.4,-140.2,-54.0,-8.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,geometry_claim,true,true_or_false,-118.0,-0.010510083544672245,0.003529911549478129,0.14782588365351418,-0.2009835559902699,0.01540907621383667,-1.7748781963330327,-0.14874826413663875,-0.08013694114041155,-0.4,-0.007194246219148326,0.11959499470249284,0.23892437049131007,-0.02942406119092979,-0.022267960894734252,-0.016638495619153943,-0.011069850397323427,-0.010567158434648944,-0.010210335338194609,-0.0098154175696826,-7575.8,-24129.0,-56989.8,-105314.8,-245665.2,-400954.0,-600122.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-34.0,-26.2,-10.4,20.4,29.4,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,numeric_open,true,answer_colon,-43.42307692307692,-0.005484892656077331,-1.2641137243417046e-06,0.0695554728000684,-0.42183248526215394,-0.0072638231974381665,-4.489811244255476,-0.07631985299961085,0.028060815779497365,-0.5769230769230769,0.006369528165401039,-3.307454097954367e-05,0.03210713775907897,0.004208969786422283,-0.007468400702265206,-0.009182303837305263,-0.00505152823847067,-0.001212747831232618,0.0008787361199263174,0.0035649548690883607,-4912.153846153846,-15292.384615384615,-28070.153846153848,2068.576923076923,122356.30769230769,218355.15384615384,345789.3076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.07692307692308,-35.03846153846154,-3.1923076923076925,54.0,104.96153846153847,95.57692307692308,43.80769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l2,numeric_validity,false,answer_colon,66.0,0.0014726400866907157,0.0043224578586232385,0.06682410403032789,0.1883652366112461,0.006450793743133545,-2.5745121254485577,-0.11743658115735492,-0.017161928583853445,0.0,0.00010126241924844237,0.1569571707950672,0.10339891234791997,0.032299196207123425,0.0060463234247527245,0.0037309446198460607,0.0029545138858811204,0.00032660352928872593,-0.0006330789945056925,-0.0004903996888358564,-3952.72,-18216.72,-50827.24,-111326.48,-184575.72,-175555.6,-63930.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.08,-105.56,-137.72,-165.92,-137.12,-81.24,-12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
