phase,prompt_id,family,tail,label,d_n_active_features,d_edge_density,d_mean_top50_score,d_top10_over_top50,d_layer_entropy,d_mean_error_node_weight,d_logit_gap,d_layer_stats_mean,d_layer_stats_std,d_layer_stats_median,d_layer_stats_entropy_bits,d_topk20_score_total,d_topk20_score_gini,d_density_at_0.50,d_density_at_0.60,d_density_at_0.70,d_density_at_0.80,d_density_at_0.90,d_density_at_0.95,d_density_at_0.99,d_n_edges_at_0.50,d_n_edges_at_0.60,d_n_edges_at_0.70,d_n_edges_at_0.80,d_n_edges_at_0.90,d_n_edges_at_0.95,d_n_edges_at_0.99,d_n_edges_total_at_0.50,d_n_edges_total_at_0.60,d_n_edges_total_at_0.70,d_n_edges_total_at_0.80,d_n_edges_total_at_0.90,d_n_edges_total_at_0.95,d_n_edges_total_at_0.99,d_n_kept_at_0.50,d_n_kept_at_0.60,d_n_kept_at_0.70,d_n_kept_at_0.80,d_n_kept_at_0.90,d_n_kept_at_0.95,d_n_kept_at_0.99,d_n_nodes_total_at_0.50,d_n_nodes_total_at_0.60,d_n_nodes_total_at_0.70,d_n_nodes_total_at_0.80,d_n_nodes_total_at_0.90,d_n_nodes_total_at_0.95,d_n_nodes_total_at_0.99
l3,tri_v2_001,numeric_validity,answer_colon,false,-996.0,0.013395074013487038,-0.0005719873262494034,-0.09931744741796417,0.3524950947239578,-0.01316782832145691,0.7899927196849457,-0.06870125469098731,-0.03186929088697443,0.0,0.010763567996158407,-0.017201201466183338,-0.11673293009209612,0.04784152156495006,0.0349637915427389,0.02230399545785916,0.014493329218936174,0.0071821528462865936,0.0020225372295546717,-0.0004117899576579487,7637.0,17304.0,17486.0,-436.0,-25023.0,-93118.0,-88014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,-52.0,-116.0,-130.0,-96.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_002,numeric_validity,answer_colon,true,-602.0,0.013586542570077548,-0.0008215910860460373,-0.2395261385364471,0.13474096285549475,-0.04648831486701965,1.2790999514055028,0.12227831077341555,0.0659379902119337,0.0,0.0133902896247875,-0.029789707868429136,-0.2619610973594967,0.08604913374501436,0.050083218382329736,0.03151677173061254,0.01371988265376936,0.002726025743931243,0.0025756942598518517,0.0027258635554177346,14965.0,33096.0,66839.0,104107.0,160195.0,280749.0,331465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,43.0,31.0,33.0,76.0,100.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_003,numeric_validity,true_or_false,false,-1459.0,-0.004272238196443415,-1.801783453402095e-05,-0.016337758016745363,0.07499727081453811,0.0019203722476959229,0.06691752177631027,-0.06965604962591954,-0.054498493887789046,0.0,0.004704059259193372,-0.00053258042004245,-0.008860267560476781,-0.009011385923531151,-0.009235839938222246,-0.01079174462245891,-0.004193927453694873,-0.0038416739834199742,-0.003586078581776647,-0.0033503242406474065,-2769.0,-13527.0,-56305.0,-108076.0,-251371.0,-323675.0,-301422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-27.0,-58.0,-82.0,-99.0,-82.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_004,numeric_validity,true_or_false,true,-1572.0,-0.002746884806508962,-2.3347815309193722e-05,-0.022553851868017838,0.18535877836799575,2.384185791015625e-06,-1.2438389290192298,-0.030570292597577264,-0.017600598700979297,0.0,0.006589264617472779,-0.0006784184685955097,-0.015323344544131562,0.0032621999482417563,4.419099773364521e-05,0.00014415537644255072,-0.0024773288069688537,-0.001887897356134427,-0.0030076550672669677,-0.0025428894296107285,-163.0,-3922.0,-17576.0,-87704.0,-176394.0,-256321.0,-204207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-15.0,-37.0,-77.0,-84.0,-63.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_005,numeric_validity,true_or_false,false,-1349.0,-0.0072651409655724725,-1.800853754957643e-05,0.015537937697508275,0.003363110142667658,0.0016132593154907227,-0.3751277069432204,-0.05273702663036772,-0.057115143374288024,0.0,-0.004850561846348356,-0.0005344865962797485,0.06925403312623915,-0.0077267183652094396,-0.008922177457191677,-0.004965100245873044,-0.008291356711776415,-0.005797733608536693,-0.004651206894401683,-0.004420080465994264,-2609.0,-11594.0,-31731.0,-131310.0,-249884.0,-286676.0,-320858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-20.0,-39.0,-74.0,-70.0,-43.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_006,numeric_validity,answer_colon,true,-485.0,0.02490440039423862,-0.0009961940789954245,-0.16421604165216142,-0.07012527248063538,-0.0390733927488327,-1.7182168811361482,0.08043312068890529,-0.03292087332479632,0.0,0.025731944191142553,-0.034317502186147555,-0.19774957121797085,0.057544693411969106,0.04133543749192367,0.02927836626760663,0.02638813392123318,0.0186014112702019,0.01627665980951032,0.015553022632124214,21667.0,59049.0,135529.0,313930.0,602199.0,826963.0,1083753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,126.0,143.0,139.0,116.0,80.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_007,numeric_validity,true_or_false,false,-1326.0,-0.0025528770510734183,-2.0031711331256473e-05,-0.022892261889456367,0.021288027058244285,-0.0015567541122436523,-1.1893740452829977,0.0151191755634148,-0.02423093615715821,0.0,0.006745601354862352,-0.0005811337612584566,-0.022054451590159146,-0.0018949992287199124,-0.0037406475482149593,-0.007220174718282596,-0.002248295802194794,-0.005009703655479453,-0.004756089997809049,-0.0040304029526903595,-1246.0,-10864.0,-45473.0,-99685.0,-269232.0,-331166.0,-304845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-30.0,-53.0,-90.0,-91.0,-60.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_008,numeric_validity,the_answer_is,false,-929.0,-0.0013342135901578261,-7.205668682424004e-05,-0.02277201377646698,-0.11395891060511065,-0.0149383544921875,2.627426286431426,-0.16142745173673845,-0.10185914974198518,0.0,0.0023171886033503952,-0.002366096012012875,0.02558936934418332,-0.0023818077669429116,-0.008578676054660672,-0.006390572580268705,-0.0011868839534995845,0.00258474110394441,0.0040162704049852005,0.005992068515229931,7582.0,19086.0,57426.0,175676.0,404096.0,520666.0,553416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,103.0,156.0,219.0,239.0,191.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_009,numeric_open,answer_colon,true,-588.0,0.026362595028520383,0.010205643147791078,0.20651313519763653,-0.3682588234311637,0.02639162540435791,7.556668322338431,-0.08607752989831852,-0.18931448697097153,0.0,0.011226422521890989,0.3685851233692574,0.17488611407899352,0.07029222160640156,0.06078872247663644,0.04391904893925,0.031365183241429284,0.022497603784896708,0.019731520570614086,0.017936954694340285,-16574.0,-64605.0,-181955.0,-348185.0,-341909.0,67665.0,973284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.0,-358.0,-538.0,-649.0,-577.0,-391.0,-104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3,tri_v2_010,numeric_open,answer_colon,true,-603.0,0.0220167381256772,0.007251867672421213,0.17183024489719378,-0.17234693615510688,-0.0012317299842834473,6.328180953602232,-0.19128811135444224,-0.25442891810878887,0.0,0.0009085355621181179,0.24569663687680077,0.1569879805967762,0.054762769775822284,0.042880153692965134,0.03975655022730623,0.02578564844301462,0.02101934644611342,0.018061373249836032,0.01820310526952698,-7118.0,-30346.0,-66514.0,-119153.0,81240.0,413519.0,1152388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-109.0,-207.0,-305.0,-360.0,-285.0,-185.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
