phase,prompt_id,d_n_active_features,base_n_active_features,d_edge_density,base_edge_density,d_logit_gap,base_logit_gap,d_layer_stats_mean,base_layer_stats_mean,d_layer_stats_entropy_bits,base_layer_stats_entropy_bits,d_topk20_score_total,base_topk20_score_total,d_topk20_score_gini,base_topk20_score_gini,d_top10_over_top50,base_top10_over_top50
l2,tri_v2_219,-56.0,21213.0,0.006219498117476449,0.12064947639931976,-2.748198473431458,-0.4992838633225203,-0.1646775497873243,9.05209069909961,-0.0016482810734173015,4.265826608407528,0.1639111511176452,0.05856477527413517,0.07159380043568558,0.31528539726696647,0.0502693430743717,0.4907672063382803
l2,tri_v2_220,-17.0,28912.0,-0.008336592023427694,0.11883785444750128,-3.2261533449512054,-9.35759374890655,-0.07755627090165618,8.530091311566132,0.005587962151755832,4.202063359623111,-5.130818770737733e-06,5.60184057007973e-06,0.03481329417650203,0.13500359642270593,0.07417733193114345,0.3088293172291542
l2,tri_v2_221,105.0,24743.0,-0.012848044030062983,0.11851871560742577,-2.12276846757699,1.75066905331345,-0.07880182454642082,8.648264155518733,-0.0033042507987106617,4.227644341047137,0.1305470400802733,0.0005044486060796771,0.2681235797472864,0.20782752120651102,0.1688875939105144,0.36720481637068475
l2,tri_v2_222,-29.0,24710.0,-0.017022040927061707,0.12291390249047335,-2.748887432446253,2.123458425942675,-0.2140775608787564,8.667300687980575,-0.013862125024122207,4.2320931395287165,0.1370326158557873,0.0007242598603625083,0.25967817405261784,0.24113331779157707,0.16102652030448344,0.39221978035897215
l2,tri_v2_223,-380.0,20202.0,-0.0018742916897766249,0.12200385637804474,-1.1238979779353597,-1.6278999746195675,-0.22946260626615533,8.864716364716363,-0.017232279733539357,4.25883628931469,0.1964973694193759,0.000695038957928773,0.24295894386941344,0.1557800338332955,0.18534058060421488,0.3543884481777341
l2,tri_v2_224,-79.0,24914.0,-0.018174049367910297,0.12409496944052656,-2.625558557829123,1.8756137788777991,-0.13781817505369176,8.725134462551175,-0.005918313283452825,4.239345997686082,0.1348235171444685,0.0008185531787603395,0.2635976589065859,0.24002537195366652,0.16328629284746216,0.3908766736704516
l2,tri_v2_225,-353.0,28295.0,-0.015370387731041144,0.12150158996127929,-2.3774032222809836,1.6285140587145222,-0.2342096303820913,8.942534016610708,-0.010583872373585379,4.253754424274298,0.1408679129617667,0.0006442313951993128,0.275198382040675,0.21850796702955788,0.17397528097611842,0.37782216064954416
l2,tri_v2_226,189.0,16249.0,0.005807847454656484,0.12994924366046312,-3.1903239229155167,0.0,-0.007452684707034862,9.124376884731369,0.010581674170922817,4.288482295911512,0.129201183677651,0.09079128073062748,0.07165554146245157,0.34797072800015816,0.017250561280608534,0.541523104891083
l2,tri_v2_227,-466.0,20955.0,-0.004629163702974087,0.11796206502370667,-0.2492838387047227,-4.376433299036725,-0.21221429533936664,8.823908375089477,-0.0074741292173579055,4.2479519893696915,0.13306082244525896,0.00019747256737900898,0.19813385483742518,0.15633941160386483,0.1564466501301805,0.32404240213011754
l2,tri_v2_228,10.0,16315.0,-0.014849393616167439,0.12957807729175663,-0.753603137183127,1.0018826617683674,-0.0791371256639124,8.991357646337727,0.0062429747632748445,4.2708827668475555,0.22507078694252414,0.0006679465986962896,0.13965427125530822,0.28063919719336033,0.13036018889936596,0.4323159914527738
l2,tri_v2_229,-45.0,16445.0,-0.004127688156465303,0.12996004050688342,-1.7491305093074359,-1.5008359026048934,-0.03543239104479845,9.06463970811797,0.009284102203972466,4.286135984138024,0.19642440835377784,0.0016751175244280603,0.22151169408297447,0.18477283086295235,0.18318010533585954,0.36688970055973286
